X,Y
"91,614","75,478"
"92,121","75,859"
"92,606","76,294"
"92,81","76,501"
"93,239","76,997"
"93,613","77,512"
"93,943","78,059"
"93,957","78,088"
"93,833","78,18"
"94,307","79,595"
"94,85","81,565"
"95,219","83,058"
"95,559","84,572"
"96,135","87,398"
"97,153","92,989"
"97,555","94,925"
"97,853","96,164"
"97,95","96,752"
"97,99","97,348"
"97,989","97,605"
"97,942","98,205"
"97,835","98,801"
"97,77","99,055"
"97,574","99,635"
"97,321","100,195"
"97,189","100,438"
"96,997","100,748"
"96,83","100,987"
"96,562","101,327"
"96,241","101,678"
"96,058","101,855"
"95,657","102,192"
"95,273","102,464"
"95,1","102,572"
"94,667","102,806"
"94,095","103,053"
"93,618","103,21"
"91,633","103,74"
"91,189","103,83"
"90,924","103,867"
"90,324","103,907"
"89,72","103,889"
"89,461","103,862"
"88,86","103,753"
"88,285","103,589"
"87,727","103,368"
"87,194","103,091"
"86,691","102,762"
"86,224","102,385"
"85,796","101,963"
"85,475","101,581"
"85,254","101,277"
"84,945","100,767"
"84,693","100,241"
"84,484","99,669"
"84,143","98,516"
"83,463","96,474"
"82,015","92,541"
"81,308","90,552"
"80,701","88,722"
"80,361","87,605"
"79,803","85,608"
"79,542","84,61"
"79,296","83,623"
"78,996","82,154"
"78,841","82,137"
"78,84","82,124"
"78,852","81,456"
"78,876","81,166"
"78,972","80,519"
"79,118","79,902"
"79,316","79,297"
"79,572","78,694"
"79,702","78,436"
"80,03","77,875"
"80,395","77,357"
"80,807","76,868"
"81,27","76,404"
"81,487","76,213"
"82,002","75,815"
"82,552","75,46"
"82,819","75,311"
"83,094","75,173"
"83,708","74,911"
"84,292","74,721"
"84,916","74,542"
"85,547","74,385"
"86,077","74,273"
"86,459","74,214"
"86,758","74,184"
"87,413","74,16"
"88,052","74,191"
"88,686","74,276"
"89,31","74,415"
"89,915","74,605"
"90,504","74,847"
"91,074","75,14"
"91,272","74,792"
"91,841","75,148"
"92,375","75,55"
"92,883","76,004"
"93,104","76,23"
"93,553","76,748"
"93,947","77,291"
"94,294","77,867"
"94,464","78,211"
"94,305","78,329"
"94,689","79,478"
"95,237","81,464"
"95,608","82,966"
"95,95","84,488"
"96,528","87,322"
"97,546","92,913"
"97,946","94,837"
"98,245","96,085"
"98,348","96,706"
"98,39","97,336"
"98,389","97,622"
"98,339","98,256"
"98,226","98,886"
"98,154","99,169"
"97,947","99,782"
"97,68","100,374"
"97,534","100,64"
"97,331","100,967"
"97,152","101,226"
"96,867","101,586"
"96,528","101,957"
"96,326","102,152"
"95,902","102,508"
"95,495","102,797"
"95,302","102,918"
"94,842","103,167"
"94,237","103,427"
"93,733","103,594"
"91,724","104,13"
"91,257","104,224"
"90,965","104,265"
"90,331","104,308"
"89,693","104,288"
"89,404","104,258"
"88,769","104,143"
"88,156","103,968"
"87,561","103,732"
"86,992","103,437"
"86,455","103,086"
"85,957","102,684"
"85,501","102,235"
"85,16","101,827"
"84,921","101,499"
"84,593","100,958"
"84,324","100,396"
"84,104","99,795"
"83,761","98,636"
"83,085","96,606"
"81,639","92,677"
"80,929","90,682"
"80,32","88,844"
"79,977","87,716"
"79,417","85,712"
"79,154","84,709"
"78,906","83,712"
"78,662","82,519"
"78,46","82,496"
"78,454","82,443"
"78,44","82,13"
"78,453","81,435"
"78,479","81,12"
"78,579","80,444"
"78,732","79,794"
"78,941","79,156"
"79,209","78,526"
"79,35","78,245"
"79,693","77,658"
